time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,-1.263736263736277010e-01,-5.494505494507251342e-03,5.722133211261137831e-04,1.907377737087045944e-04,-1.263736263736277010e-01,-5.494505494507251342e-03,0.000000000000000000e+00,2.313179969787597656e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,-3.640755254889018476e-76
9.164810180664062500e-03,5.722133211261137831e-04,-1.907377737087045944e-04,0.000000000000000000e+00,-4.162394418405382379e-02,5.722133211261137831e-04,-1.907377737087045944e-04,0.000000000000000000e+00,-4.162394418405382379e-02,0.000000000000000000e+00,2.367357015609741211e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,-6.670118512709544637e-76
1.300525665283203125e-02,5.722133211261137831e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.986620827458441818e-01,5.722133211261137831e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.986620827458441818e-01,0.000000000000000000e+00,2.383127689361572266e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.263003663003663846e+00,0.000000000000000000e+00,-1.220716660597479434e-75
1.658272743225097656e-02,5.722133211261137831e-04,2.098115510795750538e-03,0.000000000000000000e+00,4.265310001826135289e-01,5.722133211261137831e-04,2.098115510795750538e-03,0.000000000000000000e+00,4.265310001826135289e-01,0.000000000000000000e+00,2.392832994461059570e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,1.737728937728936884e+00,0.000000000000000000e+00,-2.231698130845087258e-75
1.977658271789550781e-02,5.722133211261137831e-04,5.149919890135024048e-03,0.000000000000000000e+00,9.555236873305638090e-01,5.722133211261137831e-04,5.149919890135024048e-03,0.000000000000000000e+00,9.555236873305638090e-01,0.000000000000000000e+00,2.394166946411132812e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.051282051282043994e-02,1.954578754578754740e+00,0.000000000000000000e+00,-4.075635004237759617e-75
2.286386489868164062e-02,-9.536888685435229718e-04,9.346150911726525123e-03,-4.942542016943483052e-01,1.359199054659457895e+00,-9.536888685435229718e-04,9.346150911726525123e-03,-4.942542016943483052e-01,1.359199054659457895e+00,0.000000000000000000e+00,2.362619161605834961e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.084249084249080397e-01,2.089377289377289060e+00,0.000000000000000000e+00,-7.435229421760084423e-75
2.586507797241210938e-02,-4.005493247882796481e-03,1.392385748073543539e-02,-1.016856952294266980e+00,1.525285428441400359e+00,-4.005493247882796481e-03,1.392385748073543539e-02,-1.016856952294266980e+00,1.525285428441400359e+00,0.000000000000000000e+00,2.321597099304199219e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.142857142857138797e-01,2.089377289377289060e+00,0.000000000000000000e+00,-1.354979485269866935e-74
2.875876426696777344e-02,-6.675822079804660802e-03,2.002746623941398241e-02,-9.228121365284009947e-01,2.109284883493487861e+00,-6.675822079804660802e-03,2.002746623941398241e-02,-9.228121365284009947e-01,2.109284883493487861e+00,0.000000000000000000e+00,2.258586645126342773e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.981684981684963986e-02,2.118681318681318260e+00,0.000000000000000000e+00,-2.466665856490043744e-74
3.274440765380859375e-02,-1.125352864881357107e-02,2.956435492484921213e-02,-1.148548960532413066e+00,2.392810334442527331e+00,-1.125352864881357107e-02,2.956435492484921213e-02,-1.148548960532413066e+00,2.392810334442527331e+00,0.000000000000000000e+00,2.134379625320434570e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.498168498168467977e-02,2.054212454212454020e+00,0.000000000000000000e+00,-4.485668559786762587e-74
3.652477264404296875e-02,-1.697566186007470890e-02,4.062714579995407860e-02,-1.513645699831321689e+00,2.926381686340555177e+00,-1.697566186007470890e-02,4.062714579995407860e-02,-1.513645699831321689e+00,2.926381686340555177e+00,0.000000000000000000e+00,1.974821090698242188e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.739926739926715982e-02,1.972161172161172260e+00,0.000000000000000000e+00,-8.148605556934743512e-74
