time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.361883014440536499e-02,-2.810149848461151123e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-3.385831870950062567e-320,-1.267031164275186760e-162
3.895521163940429688e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,3.361883014440536499e-02,-2.810149848461151123e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,-8.776582132723903611e-320,-3.159155243421357776e-162
1.157546043395996094e-02,1.907377737087045944e-04,-3.242542153047978104e-03,0.000000000000000000e+00,-3.973735041438045679e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.298661485314369202e-02,-2.761046111583709717e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.637362637362627993e-02,-2.218315018315017539e+00,-2.273739508726000721e-319,-7.868049829707652085e-162
1.452684402465820312e-02,1.335164415960932160e-03,-6.294346532387251614e-03,3.877593701676296245e-01,-1.034024987113679073e+00,1.907377737087045944e-04,-3.242542153047978104e-03,0.000000000000000000e+00,-3.973735041438045679e-01,3.386287391185760498e-02,-2.774012267589569092e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.051282051282043994e-02,-2.446886446886447075e+00,-5.886940389892204948e-319,-1.957382486442428737e-161
1.737213134765625000e-02,3.242542153047978104e-03,-1.049057755397875269e-02,6.703638404705165588e-01,-1.474800449035136518e+00,1.335164415960932160e-03,-6.294346532387251614e-03,3.877593701676296245e-01,-1.034024987113679073e+00,3.557126596570014954e-02,-2.822067797183990479e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.809523809523795990e-02,-2.482051282051282115e+00,-1.523248852036688808e-318,-4.864035739999857854e-161
2.015542984008789062e-02,5.912870984969842425e-03,-1.544975967040507214e-02,9.594115899473362186e-01,-1.781764381330767311e+00,3.242542153047978104e-03,-1.049057755397875269e-02,6.703638404705165588e-01,-1.474800449035136518e+00,3.796970099210739136e-02,-2.903632879257202148e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.791208791208759976e-03,-2.511355311355311315e+00,-3.938982827377463786e-318,-1.207341918224498981e-160
2.215600013732910156e-02,8.201724269474297557e-03,-2.002746623941398241e-02,1.144100403600306848e+00,-2.288200807200613696e+00,5.912870984969842425e-03,-1.544975967040507214e-02,9.594115899473362186e-01,-1.781764381330767311e+00,4.007186368107795715e-02,-2.963189542293548584e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.511355311355311315e+00,-1.017959516918866666e-317,-2.993479332620706922e-160
2.415680885314941406e-02,1.049057755397875269e-02,-2.460517280842289267e-02,1.143964071331050381e+00,-2.287928142662100761e+00,8.201724269474297557e-03,-2.002746623941398241e-02,1.144100403600306848e+00,-2.288200807200613696e+00,4.191675037145614624e-02,-3.011880397796630859e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.546520146520146355e+00,-2.629109564269755012e-317,-7.413694938181218817e-160
2.615737915039062500e-02,1.277943083848320782e-02,-2.994583047226662131e-02,1.144100403600306848e+00,-2.669567608400715830e+00,1.049057755397875269e-02,-2.460517280842289267e-02,1.143964071331050381e+00,-2.287928142662100761e+00,4.311055317521095276e-02,-3.016366124153137207e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.581684981684981395e+00,-6.786073660526730931e-317,-1.834026564234147279e-159
2.815794944763183594e-02,1.544975967040507214e-02,-3.490501258869294077e-02,1.334783804200357915e+00,-2.478884207800664541e+00,1.277943083848320782e-02,-2.994583047226662131e-02,1.144100403600306848e+00,-2.669567608400715830e+00,4.537928476929664612e-02,-3.090577840805053711e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.646153846153845635e+00,-1.750492567205045127e-316,-4.531990540635118798e-159
