time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,0.000000000000000000e+00,2.370037078857421875e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,-1.996025209198636038e-321,0.000000000000000000e+00
9.962797164916992188e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.390168666839599609e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,-8.394175322842778786e-321,0.000000000000000000e+00
1.439046859741210938e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.723142980383424727e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.723142980383424727e-01,0.000000000000000000e+00,2.398324012756347656e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,1.421245421245421525e+00,-3.523182120493929107e-320,0.000000000000000000e+00
1.811838150024414062e-02,-1.907377737087045944e-04,2.861066605630568915e-03,-1.023295225399737107e-01,6.139771352398423199e-01,-1.907377737087045944e-04,2.861066605630568915e-03,-1.023295225399737107e-01,6.139771352398423199e-01,0.000000000000000000e+00,2.388947010040283203e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.395604395604379988e-02,1.849084249084249620e+00,-1.477108061371574793e-319,0.000000000000000000e+00
2.176308631896972656e-02,-1.716639963378341349e-03,5.912870984969842425e-03,-4.186627629842425424e-01,8.373255259684850849e-01,-1.716639963378341349e-03,5.912870984969842425e-03,-4.186627629842425424e-01,8.373255259684850849e-01,0.000000000000000000e+00,2.351768016815185547e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.567765567765547985e-02,2.030769230769230660e+00,-6.183626810219873498e-319,0.000000000000000000e+00
2.549934387207031250e-02,-4.386968795300205670e-03,1.125352864881357107e-02,-7.147068407277903379e-01,1.429413681455580676e+00,-4.386968795300205670e-03,1.125352864881357107e-02,-7.147068407277903379e-01,1.429413681455580676e+00,0.000000000000000000e+00,2.317747592926025391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.981684981684963986e-02,2.083516483516483220e+00,-2.585084856765779056e-318,0.000000000000000000e+00
2.924180030822753906e-02,-7.438773174639479180e-03,1.850156404974434565e-02,-8.154548840848717672e-01,1.936705349701570489e+00,-7.438773174639479180e-03,1.850156404974434565e-02,-8.154548840848717672e-01,1.936705349701570489e+00,0.000000000000000000e+00,2.273988246917724609e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,2.054212454212454020e+00,-1.079190060539264033e-317,0.000000000000000000e+00
3.390979766845703125e-02,-1.316090638590061701e-02,2.956435492484921213e-02,-1.225821861000328639e+00,2.369922264600635486e+00,-1.316090638590061701e-02,2.956435492484921213e-02,-1.225821861000328639e+00,2.369922264600635486e+00,0.000000000000000000e+00,2.130259037017822266e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.395604395604379988e-02,2.036630036630036500e+00,-4.498977087065412110e-317,0.000000000000000000e+00
3.721022605895996094e-02,-1.773861295490952728e-02,3.948271915770185103e-02,-1.387003754476656026e+00,3.005174801366087944e+00,-1.773861295490952728e-02,3.948271915770185103e-02,-1.387003754476656026e+00,3.005174801366087944e+00,0.000000000000000000e+00,1.946866035461425781e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.395604395604379988e-02,1.978021978021978100e+00,-1.872932310809939519e-316,0.000000000000000000e+00
4.038643836975097656e-02,-2.269779507133584673e-02,5.016403448538930832e-02,-1.561350952383679491e+00,3.362909743595617229e+00,-2.269779507133584673e-02,5.016403448538930832e-02,-1.561350952383679491e+00,3.362909743595617229e+00,0.000000000000000000e+00,1.687366962432861328e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.739926739926715982e-02,1.936996336996337220e+00,-7.786151805371617450e-316,0.000000000000000000e+00
