des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,6.748828749783121559e-04,1.337183018000262513e-01,2.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,1.278155633270584195e-03,-1.074838328896873807e-02,-1.997931838035583496e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-02,5.068513595176969743e-04,-1.433330069483780278e-01,-1.996771693229675293e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,-1.581421815290324356e-03,-2.741012187736162620e-01,-1.987948656082153320e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-3.585144339407496644e-03,-1.267492022526293394e-01,1.989734411239624023e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000472e-02,-4.121901231249806494e-03,1.708102264129204850e-02,1.981398820877075195e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000666e-02,-3.287552079336725566e-03,1.496073499918109395e-01,1.988665103912353516e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,-1.131807092594627143e-03,2.813179359647043354e-01,1.994398951530456543e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999667e-02,2.333070231020568583e-03,4.113929183846101179e-01,1.991965889930725098e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999167e-02,5.703748144959932750e-03,2.628053265504484148e-01,-1.989725232124328613e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999867e-01,7.590454051708922685e-03,1.146465365584259100e-01,-1.991038203239440918e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999817e-01,8.001235000633081032e-03,-3.016828104414079337e-02,-1.985679984092712402e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299999999999999767e-01,7.039924021744950813e-03,-1.619092204127585977e-01,-1.967965960502624512e+00
