time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,2.413772106170654297e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-3.385831870950062567e-320,-1.267031164275186760e-162
9.898185729980468750e-03,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-3.853994639259632204e-02,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-3.853994639259632204e-02,0.000000000000000000e+00,2.411638498306274414e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-8.776582132723903611e-320,-3.159155243421357776e-162
1.395964622497558594e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,2.817771202409795617e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,2.817771202409795617e-01,0.000000000000000000e+00,2.413292884826660156e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,1.327472527472528085e+00,-2.273739508726000721e-319,-7.868049829707652085e-162
1.755142211914062500e-02,-1.907377737087045944e-04,1.716639963378341349e-03,-1.062080593717244642e-01,3.186241781151734065e-01,-1.907377737087045944e-04,1.716639963378341349e-03,-1.062080593717244642e-01,3.186241781151734065e-01,0.000000000000000000e+00,2.397653818130493164e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.395604395604379988e-02,1.808058608058608741e+00,-5.886940389892204948e-319,-1.957382486442428737e-161
2.082061767578125000e-02,-1.335164415960932160e-03,4.768444342717614859e-03,-3.500636846050967921e-01,9.335031589469247049e-01,-1.335164415960932160e-03,4.768444342717614859e-03,-3.500636846050967921e-01,9.335031589469247049e-01,0.000000000000000000e+00,2.356773376464843750e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,2.013186813186813140e+00,-1.523248852036688808e-318,-4.864035739999857854e-161
2.400755882263183594e-02,-3.624017700465387293e-03,8.964675364309115935e-03,-7.181975377130376259e-01,1.316695485807235722e+00,-3.624017700465387293e-03,8.964675364309115935e-03,-7.181975377130376259e-01,1.316695485807235722e+00,0.000000000000000000e+00,2.317606687545776367e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.739926739926715982e-02,2.077655677655677380e+00,-3.938982827377463786e-318,-1.207341918224498981e-160
2.704644203186035156e-02,-5.912870984969842425e-03,1.392385748073543539e-02,-7.531889601922308053e-01,1.631909413749833559e+00,-5.912870984969842425e-03,1.392385748073543539e-02,-7.531889601922308053e-01,1.631909413749833559e+00,0.000000000000000000e+00,2.286824226379394531e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,2.036630036630036500e+00,-1.017959516918866666e-317,-2.993479332620706922e-160
3.102350234985351562e-02,-9.727626459143934312e-03,2.193484397650102835e-02,-9.591897454799046541e-01,2.014298465507800007e+00,-9.727626459143934312e-03,2.193484397650102835e-02,-9.591897454799046541e-01,2.014298465507800007e+00,0.000000000000000000e+00,2.171037197113037109e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,2.036630036630036500e+00,-2.629109564269755012e-317,-7.413694938181218817e-160
3.528499603271484375e-02,-1.544975967040507214e-02,3.337911039902330401e-02,-1.342752949341246227e+00,2.685505898682492454e+00,-1.544975967040507214e-02,3.337911039902330401e-02,-1.342752949341246227e+00,2.685505898682492454e+00,0.000000000000000000e+00,2.018253564834594727e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.223443223443211991e-02,1.995604395604395620e+00,-6.786073660526730931e-317,-1.834026564234147279e-159
3.838372230529785156e-02,-1.964599069199657322e-02,4.291599908445853373e-02,-1.354179315133132278e+00,3.077680261666209560e+00,-1.964599069199657322e-02,4.291599908445853373e-02,-1.354179315133132278e+00,3.077680261666209560e+00,0.000000000000000000e+00,1.791099071502685547e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.981684981684963986e-02,1.978021978021978100e+00,-1.750492567205045127e-316,-4.531990540635118798e-159
4.136776924133300781e-02,-2.498664835584030186e-02,5.321583886472858183e-02,-1.789736481470949769e+00,3.451634642836831635e+00,-2.498664835584030186e-02,5.321583886472858183e-02,-1.789736481470949769e+00,3.451634642836831635e+00,0.000000000000000000e+00,1.572866678237915039e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.981684981684963986e-02,1.866666666666667140e+00,-4.512672487955002296e-316,-1.118625796784895698e-158
4.425263404846191406e-02,-2.994583047226662131e-02,6.389715419241603911e-02,-1.719034494847551775e+00,3.702535835056265601e+00,-2.994583047226662131e-02,6.389715419241603911e-02,-1.719034494847551775e+00,3.702535835056265601e+00,0.000000000000000000e+00,1.492456912994384766e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.567765567765547985e-02,1.655677655677655125e+00,-1.162623726538821599e-315,-2.757992805261523022e-158
4.720711708068847656e-02,-3.566796368352775914e-02,7.534142061493831477e-02,-1.936762929028843949e+00,3.873525858057687898e+00,-3.566796368352775914e-02,7.534142061493831477e-02,-1.936762929028843949e+00,3.873525858057687898e+00,0.000000000000000000e+00,1.468743324279785156e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.912087912087883979e-02,1.497435897435897445e+00,-2.993480112496928459e-315,-6.792253560659424330e-158
5.008149147033691406e-02,-4.177157244220630616e-02,8.716716258487799962e-02,-2.123456422607868710e+00,4.114196818802745348e+00,-4.177157244220630616e-02,8.716716258487799962e-02,-2.123456422607868710e+00,4.114196818802745348e+00,0.000000000000000000e+00,1.473372459411621094e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.025641025641021997e-01,1.391941391941392325e+00,-7.702742857476321321e-315,-1.670887130824835894e-157
5.441093444824218750e-02,-5.092698558022412669e-02,1.066224155031658682e-01,-2.114686158182757847e+00,4.493708086138360258e+00,-5.092698558022412669e-02,1.066224155031658682e-01,-2.114686158182757847e+00,4.493708086138360258e+00,0.000000000000000000e+00,1.602679967880249023e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.084249084249080397e-01,1.327472527472528085e+00,-1.980825646695104949e-314,-4.105752829210862601e-157
