des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,-5.054056079992054018e-05,-9.015329213236418851e-03,-2.071753731912547580e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,-1.870203777832396498e-04,-1.826541060955399684e-02,-2.271565772908434866e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-02,-4.218580227311341936e-04,-2.868232155336481598e-02,-2.453704531084870410e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,-7.663987888108953492e-04,-4.020116615223681689e-02,-2.630608179266993862e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-1.231310595939730723e-03,-5.275139437572302914e-02,-2.801708607774670012e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000472e-02,-1.826529079184006270e-03,-6.625712942865599753e-02,-2.966459285517450972e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000666e-02,-2.561206893197162399e-03,-8.063768323067696531e-02,-3.124361130730455294e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,-3.443672794114003340e-03,-9.580899503657401561e-02,-3.275094387180182420e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999667e-02,-4.481401252192715803e-03,-1.116842995202803196e-01,-3.418408330133466677e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999167e-02,-5.680986844665560434e-03,-1.281744150212395794e-01,-3.554066556663732501e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999867e-01,-7.048122671045568485e-03,-1.451882593962092738e-01,-3.681879304920003815e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999817e-01,-8.587582172362110550e-03,-1.626330152532282081e-01,-3.801653013410922766e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299999999999999767e-01,-1.030320292406480299e-02,-1.804143593155038972e-01,-3.913199200384326892e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399999999999999856e-01,-1.219786996460392112e-02,-1.984361408520080028e-01,-4.016255042904052774e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-01,-1.427349756810528461e-02,-2.166003917333880202e-01,-4.110530195339675563e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-01,-1.653101611257224574e-02,-2.348083341560287807e-01,-4.195849695897958531e-01
